arch,seed,prior_precision,hessian_structure,temperature,link_approx,rotation,nll_id,ece_id,acc_id,brier_id,nll_ood,ece_ood,acc_ood,brier_ood
widelenet,0,1e-06,diag,1.0,probit,45,0.13688908517360687,0.0805094912648201,0.9918000102043152,0.04701869934797287,1.3125234842300415,0.18280787765979767,0.6740000247955322,0.5462777018547058
widelenet,0,1e-06,diag,1.0,probit,60,0.13688908517360687,0.0805094912648201,0.9918000102043152,0.04701869934797287,1.9583871364593506,0.1259511560201645,0.41179999709129333,0.7922887802124023
widelenet,0,1e-06,diag,1.0,probit,90,0.13688908517360687,0.0805094912648201,0.9918000102043152,0.04701869934797287,2.4684596061706543,0.17611826956272125,0.18549999594688416,0.9483379125595093
widelenet,0,1e-06,diag,1.0,probit,120,0.13688908517360687,0.0805094912648201,0.9918000102043152,0.04701869934797287,2.6069178581237793,0.20414212346076965,0.21199999749660492,1.0018953084945679
widelenet,0,1e-06,diag,1.0,probit,160,0.13688908517360687,0.0805094912648201,0.9918000102043152,0.04701869934797287,2.4789340496063232,0.19178543984889984,0.3587999939918518,0.8928940296173096
widelenet,0,1e-06,diag,1.0,probit,180,0.13688908517360687,0.0805094912648201,0.9918000102043152,0.04701869934797287,2.6445059776306152,0.23371100425720215,0.3880000114440918,0.9142908453941345
widelenet,42,1e-06,diag,1.0,probit,5,0.10590118169784546,0.06463146209716797,0.9908000230789185,0.033490922302007675,0.13895805180072784,0.08035047352313995,0.9866999983787537,0.04699042811989784
widelenet,42,1e-06,diag,1.0,probit,15,0.10590118169784546,0.06463146209716797,0.9908000230789185,0.033490922302007675,0.24360160529613495,0.12221357971429825,0.9725000262260437,0.09162662923336029
widelenet,42,1e-06,diag,1.0,probit,30,0.10590118169784546,0.06463146209716797,0.9908000230789185,0.033490922302007675,0.6358795166015625,0.15651114284992218,0.8673999905586243,0.26595401763916016
widelenet,42,1e-06,diag,1.0,probit,45,0.10590118169784546,0.06463146209716797,0.9908000230789185,0.033490922302007675,1.3784314393997192,0.1373162567615509,0.6291999816894531,0.5658174157142639
widelenet,42,1e-06,diag,1.0,probit,60,0.10590118169784546,0.06463146209716797,0.9908000230789185,0.033490922302007675,2.0642244815826416,0.09557361155748367,0.3677999973297119,0.8249111175537109
widelenet,42,1e-06,diag,1.0,probit,90,0.10590118169784546,0.06463146209716797,0.9908000230789185,0.033490922302007675,2.594231605529785,0.20256073772907257,0.1679999977350235,0.972480297088623
widelenet,42,1e-06,diag,1.0,probit,120,0.10590118169784546,0.06463146209716797,0.9908000230789185,0.033490922302007675,2.54646635055542,0.19976595044136047,0.22709999978542328,0.9572747349739075
widelenet,42,1e-06,diag,1.0,probit,160,0.10590118169784546,0.06463146209716797,0.9908000230789185,0.033490922302007675,2.375563383102417,0.202520951628685,0.337799996137619,0.9007455110549927
widelenet,42,1e-06,diag,1.0,probit,180,0.10590118169784546,0.06463146209716797,0.9908000230789185,0.033490922302007675,2.514040470123291,0.23300236463546753,0.3725999891757965,0.9134663939476013
widelenet,123,1e-06,diag,1.0,probit,5,0.1171836405992508,0.07287715375423431,0.9912999868392944,0.03735440596938133,0.1509462147951126,0.08415515720844269,0.9853000044822693,0.052012305706739426
